,image_path,image_id,label
0,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD58.jpg,CD58,Calcium Deficiency
1,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD54.jpg,CD54,Calcium Deficiency
2,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD22.jpg,CD22,Calcium Deficiency
3,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD61.jpg,CD61,Calcium Deficiency
4,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD24.jpg,CD24,Calcium Deficiency
5,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD56.jpg,CD56,Calcium Deficiency
6,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD36.jpg,CD36,Calcium Deficiency
7,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD55.jpg,CD55,Calcium Deficiency
8,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD19.jpg,CD19,Calcium Deficiency
9,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD89.jpg,CD89,Calcium Deficiency
10,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD1.jpg,CD1,Calcium Deficiency
11,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD2.jpg,CD2,Calcium Deficiency
12,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD4.jpg,CD4,Calcium Deficiency
13,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD9.jpg,CD9,Calcium Deficiency
14,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD100.jpg,CD100,Calcium Deficiency
15,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD10.png,CD10,Calcium Deficiency
16,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD107.jpg,CD107,Calcium Deficiency
17,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD11.jpg,CD11,Calcium Deficiency
18,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD111.jpg,CD111,Calcium Deficiency
19,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD112.jpg,CD112,Calcium Deficiency
20,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD14.jpg,CD14,Calcium Deficiency
21,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD113.jpg,CD113,Calcium Deficiency
22,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD17.jpg,CD17,Calcium Deficiency
23,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD115.jpg,CD115,Calcium Deficiency
24,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD45.jpg,CD45,Calcium Deficiency
25,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD116.jpg,CD116,Calcium Deficiency
26,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD117.jpg,CD117,Calcium Deficiency
27,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD5.jpg,CD5,Calcium Deficiency
28,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD6.jpg,CD6,Calcium Deficiency
29,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD15_1.jpg,CD15_1,Calcium Deficiency
30,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD15_2.jpg,CD15_2,Calcium Deficiency
31,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD15_3.jpg,CD15_3,Calcium Deficiency
32,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD15_4.jpg,CD15_4,Calcium Deficiency
33,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD15_5.jpg,CD15_5,Calcium Deficiency
34,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD16.jpg,CD16,Calcium Deficiency
35,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD21.jpg,CD21,Calcium Deficiency
36,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD23.jpg,CD23,Calcium Deficiency
37,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD26.jpg,CD26,Calcium Deficiency
38,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD27.jpg,CD27,Calcium Deficiency
39,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD28.jpg,CD28,Calcium Deficiency
40,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD32.jpg,CD32,Calcium Deficiency
41,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD33.jpg,CD33,Calcium Deficiency
42,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD34.jpg,CD34,Calcium Deficiency
43,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD35.jpg,CD35,Calcium Deficiency
44,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD37.jpg,CD37,Calcium Deficiency
45,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD40_1.jpg,CD40_1,Calcium Deficiency
46,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD40_2.jpg,CD40_2,Calcium Deficiency
47,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD40_3.jpg,CD40_3,Calcium Deficiency
48,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD41.jpg,CD41,Calcium Deficiency
49,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD43.jpg,CD43,Calcium Deficiency
